"AIM_001_DIR","AIM_002_DIR","AIM_TramoIngreso_DIRd","AIM_DIRt"
8,2,3,"c3"
6,2,4,"c3"
7,2,4,"c3"
8,2,4,"c3"
6,2,5,"c2"
7,2,5,"c2"
8,2,5,"c2"
6,2,6,"c1b"
7,2,6,"c1b"
8,2,6,"c1b"
6,2,7,"c1b"
7,2,7,"c1b"
8,2,7,"c1b"
6,3,1,"d"
7,3,1,"d"
8,3,1,"d"
6,3,2,"d"
7,3,2,"d"
8,3,2,"d"
6,3,3,"c3"
7,3,3,"c3"
8,3,3,"c3"
6,3,4,"c2"
7,3,4,"c2"
8,3,4,"c2"
6,3,5,"c2"
7,3,5,"c2"
8,3,5,"c2"
6,3,6,"c1b"
7,3,6,"c1b"
8,3,6,"c1b"
6,3,7,"c1b"
7,3,7,"c1b"
8,3,7,"c1b"
6,4,1,"d"
7,4,1,"d"
8,4,1,"d"
6,4,2,"d"
7,4,2,"d"
8,4,2,"d"
6,4,3,"c3"
7,4,3,"c3"
8,4,3,"c3"
6,4,4,"c2"
7,4,4,"c2"
8,4,4,"c2"
6,4,5,"c2"
7,4,5,"c2"
8,4,5,"c2"
6,4,6,"c1b"
7,4,6,"c1b"
8,4,6,"c1b"
6,4,7,"c1b"
7,4,7,"c1b"
8,4,7,"c1b"
6,5,1,"d"
7,5,1,"d"
8,5,1,"d"
6,5,2,"d"
7,5,2,"d"
8,5,2,"d"
6,5,3,"c3"
7,5,3,"c3"
8,5,3,"c3"
6,5,4,"c2"
7,5,4,"c2"
8,5,4,"c2"
6,5,5,"c2"
7,5,5,"c2"
8,5,5,"c2"
6,5,6,"c1b"
7,5,6,"c1b"
8,5,6,"c1b"
6,5,7,"c1b"
7,5,7,"c1b"
8,5,7,"c1b"
6,10,1,"d"
7,10,1,"d"
8,10,1,"d"
6,10,2,"d"
7,10,2,"d"
8,10,2,"d"
6,10,3,"c3"
7,10,3,"c3"
8,10,3,"c3"
6,10,4,"c2"
7,10,4,"c2"
8,10,4,"c2"
6,10,5,"c2"
7,10,5,"c2"
8,10,5,"c2"
6,10,6,"c1b"
7,10,6,"c1b"
8,10,6,"c1b"
6,10,7,"c1b"
7,10,7,"c1b"
8,10,7,"c1b"
4,7,1,"d"
5,7,1,"d"
4,7,2,"d"
5,7,2,"d"
4,7,3,"c3"
5,7,3,"c3"
4,7,4,"c2"
4,7,4,"c2"
5,7,5,"c2"
4,7,5,"c2"
5,7,6,"c1b"
4,7,6,"c1b"
5,7,7,"c1b"
4,7,7,"c1b"
9,1,1,"d"
10,1,1,"d"
9,1,2,"d"
10,1,2,"d"
9,1,3,"c3"
10,1,3,"c3"
9,1,4,"c2"
10,1,4,"c2"
9,1,5,"c2"
10,1,5,"c2"
9,1,6,"c1b"
10,1,6,"c1b"
9,1,7,"c1b"
10,1,7,"c1b"
1,8,1,"d"
2,8,1,"d"
1,9,1,"d"
2,9,1,"d"
1,8,2,"d"
2,8,2,"d"
1,9,2,"d"
2,9,2,"d"
1,8,3,"c3"
2,8,3,"c3"
1,9,3,"c3"
2,9,3,"c3"
1,8,4,"c2"
2,8,4,"c2"
1,9,4,"c2"
2,9,4,"c2"
1,8,5,"c2"
2,8,5,"c2"
1,9,5,"c2"
2,9,5,"c2"
1,8,6,"c1b"
2,8,6,"c1b"
1,9,6,"c1b"
2,9,6,"c1b"
1,8,7,"c1b"
2,8,7,"c1b"
1,9,7,"c1b"
2,9,7,"c1b"
6,6,1,"d"
7,6,1,"d"
8,6,1,"d"
6,6,2,"d"
7,6,2,"d"
8,6,2,"d"
6,6,3,"c3"
7,6,3,"c3"
8,6,3,"c3"
6,6,4,"c2"
7,6,4,"c2"
8,6,4,"c2"
6,6,5,"c2"
7,6,5,"c2"
8,6,5,"c2"
6,6,6,"c1b"
7,6,6,"c1b"
8,6,6,"c1b"
6,6,7,"c1b"
7,6,7,"c1b"
8,6,7,"c1b"
3,8,1,"d"
3,9,1,"d"
3,8,2,"d"
3,9,2,"d"
3,8,3,"c3"
3,9,3,"c3"
3,8,4,"c2"
3,9,4,"c2"
3,8,5,"c1b"
3,9,5,"c1b"
3,8,6,"c1b"
3,9,6,"c1b"
3,8,7,"c1b"
3,9,7,"c1b"
9,2,1,"d"
10,2,1,"d"
9,2,2,"c3"
10,2,2,"c3"
9,2,3,"c3"
10,2,3,"c3"
9,2,4,"c2"
10,2,4,"c2"
9,2,5,"c1b"
10,2,5,"c1b"
9,2,6,"c1b"
10,2,6,"c1b"
9,2,7,"c1b"
10,2,7,"c1b"
9,3,1,"d"
10,3,1,"d"
9,4,1,"d"
10,4,1,"d"
9,5,1,"d"
10,5,1,"d"
9,10,1,"d"
10,10,1,"d"
9,3,2,"c3"
10,3,2,"c3"
9,4,2,"c3"
10,4,2,"c3"
9,5,2,"c3"
10,5,2,"c3"
9,10,2,"c3"
10,10,2,"c3"
9,3,3,"c3"
10,3,3,"c3"
9,4,3,"c3"
10,4,3,"c3"
9,5,3,"c3"
10,5,3,"c3"
9,10,3,"c3"
10,10,3,"c3"
9,3,4,"c2"
10,3,4,"c2"
9,4,4,"c2"
10,4,4,"c2"
9,5,4,"c2"
10,5,4,"c2"
9,10,4,"c2"
10,10,4,"c2"
9,3,5,"c1b"
10,3,5,"c1b"
9,4,5,"c1b"
10,4,5,"c1b"
9,5,5,"c1b"
10,5,5,"c1b"
9,10,5,"c1b"
10,10,5,"c1b"
9,3,6,"c1b"
10,3,6,"c1b"
9,4,6,"c1b"
10,4,6,"c1b"
9,5,6,"c1b"
10,5,6,"c1b"
9,10,6,"c1b"
10,10,6,"c1b"
9,3,7,"c1b"
10,3,7,"c1b"
9,4,7,"c1b"
10,4,7,"c1b"
9,5,7,"c1b"
10,5,7,"c1b"
9,10,7,"c1b"
10,10,7,"c1b"
4,8,1,"d"
5,8,1,"d"
4,9,1,"d"
5,9,1,"d"
4,8,2,"c3"
5,8,2,"c3"
4,9,2,"c3"
5,9,2,"c3"
4,8,3,"c3"
5,8,3,"c3"
4,9,3,"c3"
5,9,3,"c3"
4,8,4,"c2"
5,8,4,"c2"
4,9,4,"c2"
5,9,4,"c2"
4,8,5,"c1b"
5,8,5,"c1b"
4,9,5,"c1b"
5,9,5,"c1b"
4,8,6,"c1b"
5,8,6,"c1b"
4,9,6,"c1b"
5,9,6,"c1b"
4,8,7,"c1a"
5,8,7,"c1a"
4,9,7,"c1a"
5,9,7,"c1a"
6,7,1,"d"
7,7,1,"d"
8,7,1,"d"
6,7,2,"c3"
7,7,2,"c3"
8,7,2,"c3"
6,7,3,"c3"
7,7,3,"c3"
8,7,3,"c3"
6,7,4,"c2"
7,7,4,"c2"
8,7,4,"c2"
6,7,5,"c1b"
7,7,5,"c1b"
8,7,5,"c1b"
6,7,6,"c1b"
7,7,6,"c1b"
8,7,6,"c1b"
6,7,7,"c1a"
7,7,7,"c1a"
8,7,7,"c1a"
9,6,1,"d"
10,6,1,"d"
9,6,2,"c3"
10,6,2,"c3"
9,6,3,"c2"
10,6,3,"c2"
9,6,4,"c2"
10,6,4,"c2"
9,6,5,"c1b"
10,6,5,"c1b"
9,6,6,"c1b"
10,6,6,"c1b"
9,6,7,"c1a"
10,6,7,"c1a"
6,8,1,"d"
7,8,1,"d"
8,8,1,"d"
6,9,1,"d"
7,9,1,"d"
8,9,1,"d"
6,8,2,"c3"
7,8,2,"c3"
8,8,2,"c3"
6,9,2,"c3"
7,9,2,"c3"
8,9,2,"c3"
6,8,3,"c2"
7,8,3,"c2"
8,8,3,"c2"
6,9,3,"c2"
7,9,3,"c2"
8,9,3,"c2"
6,8,4,"c2"
7,8,4,"c2"
8,8,4,"c2"
6,9,4,"c2"
7,9,4,"c2"
8,9,4,"c2"
6,8,5,"c1b"
7,8,5,"c1b"
8,8,5,"c1b"
6,9,5,"c1b"
7,9,5,"c1b"
8,9,5,"c1b"
6,8,6,"c1a"
7,8,6,"c1a"
8,8,6,"c1a"
6,9,6,"c1a"
7,9,6,"c1a"
8,9,6,"c1a"
6,8,7,"c1a"
7,8,7,"c1a"
8,8,7,"c1a"
6,9,7,"c1a"
7,9,7,"c1a"
8,9,7,"c1a"
9,7,1,"d"
10,7,1,"d"
9,7,2,"c3"
10,7,2,"c3"
9,7,3,"c2"
10,7,3,"c2"
9,7,4,"c2"
10,7,4,"c2"
9,7,5,"c1b"
10,7,5,"c1b"
9,7,6,"c1a"
10,7,6,"c1a"
9,7,7,"c1a"
10,7,7,"c1a"
9,8,1,"c3"
10,8,1,"c3"
9,9,1,"c3"
10,9,1,"c3"
9,8,2,"c3"
10,8,2,"c3"
9,9,2,"c3"
10,9,2,"c3"
9,8,3,"c2"
10,8,3,"c2"
9,9,3,"c2"
10,9,3,"c2"
9,8,4,"c1b"
10,8,4,"c1b"
9,9,4,"c1b"
10,9,4,"c1b"
9,8,5,"c1a"
10,8,5,"c1a"
9,9,5,"c1a"
10,9,5,"c1a"
9,8,6,"c1a"
10,8,6,"c1a"
9,9,6,"c1a"
10,9,6,"c1a"
9,8,7,"ab"
10,8,7,"ab"
9,9,7,"ab"
10,9,7,"ab"
